Section,Category,Type,Manufactured,Price,Energy_value
"Мясо, рыба, кулинария",Мясная гастрономия,Колбаса,"ООО ""Мясокомбинат ""Павловская Слобода""",689,230.0
Бакалея,"Чай, кофе, какао",Кофе зерновой,"ООО ""Паулиг Рус""",249,218.0
Бакалея,Чипсы и снеки,Мясные и рыбные снеки,"ООО ""Дымовское колбасное производство""",74,520.0
Бакалея,Крупы и макаронные изделия,Макароны и паста,"ООО ""Макарон-Сервис""",127,337.0
Детские товары,Детское питание,Детское пюре,"АО ""Прогресс""",60,75.0
"Хлеб, кондитерские изделия","Печенье, пряники, вафли","Печенье, галеты, крекеры","ООО ""Кондитерское предприятие ""Полет""",229,445.0
Товары для животных,Корма и лакомства,Корма и лакомства для грызунов,"ООО ""Альпинтех""",159,303.0
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты",AS Poltsemaa Felix,449,50.0
Бакалея,"Орехи, сухофрукты, семечки",Сухофрукты и цукаты,Argensun S.A.,229,274.0
Детские товары,Детское питание,Детское пюре,"ООО ""Завод детского питания ""Фаустово""",42,65.0
Бакалея,Консервы и мёд,"Варенье, джемы, пюре","ООО ""ФерЭльГам""",99,190.0
Напитки,"Соки, нектары",Нектары и сокосодержащие напитки,"ООО ""ОМЕГА""",166,65.0
Бакалея,Консервы и мёд,"Варенье, джемы, пюре",Belberry Preserves BVBA,347,229.0
Детские товары,Детское питание,Детское пюре,Nestle Polska S.A. / Нестле Польска С.А.,87,63.0
"Мясо, рыба, кулинария","Рыба, икра, морепродукты",Замороженная рыба,"ООО ""РЫБНАЯ КОМПАНИЯ ""ПОЛЯРНОЕ МОРЕ+""",369,89.0
Бакалея,Консервы и мёд,"Варенье, джемы, пюре","ООО ""Русские продукты""",99,240.0
Замороженные продукты,"Замороженные фрукты, овощи, смеси",Замороженные овощи и смеси,"ООО ""Фабрика замороженных полуфабрикатов""",47,30.0
"Молочные продукты, сыр, яйца","Коктейли, десерты, каши","Коктейли, напитки","ЗАО ""Завод стерилизованного молока ""Можайский""",86,69.0
Бакалея,Крупы и макаронные изделия,Макароны и паста,Colussi S.p.A. (Колусси С.п.А.).,79,381.0
Напитки,"Соки, нектары",Нектары и сокосодержащие напитки,"ООО ""Лебедянский""",122,55.0
"Хлеб, кондитерские изделия","Печенье, пряники, вафли",Вафли,"ООО ""КФ Тореро""",26,550.0
"Мясо, рыба, кулинария",Птица,Охлажденная птица,"ЗАО ""Краснобор""",444,139.0
Бакалея,Мука и кулинарные ингредиенты,Смеси для выпечки,"ООО ""Хлебзернопродукт""",68,320.0
"Молочные продукты, сыр, яйца",Сыры,Сыры плавленые,"ООО ""Хохланд Руссланд""",121,212.0
Напитки,"Соки, нектары",Соки,"ООО ""Производственная компания ""ЛИДЕР""",34,50.0
Напитки,"Соки, нектары",Соки,"ООО ""Производственная компания ""ЛИДЕР""",109,20.0
"Молочные продукты, сыр, яйца",Кисломолочные продукты,Творог и творожные продукты,"ОАО ""Вимм-Билль-Данн""",67,104.0
"Хлеб, кондитерские изделия",Булочки и сладкая выпечка,Круассаны и слойки,"ОАО ""КБК ""ЧЕРЕМУШКИ""",29,379.0
"Молочные продукты, сыр, яйца",Йогурт,Йогурты традиционные,"ООО ""Данон Индустрия""",36,123.0
Бакалея,"Растительные масла, соусы",Азиатская кухня,"АО ""Виртекс""",53,150.0
Собственное производство,Суши и роллы,None,"ООО ""Гиперглобус""",599,177.0
"Мясо, рыба, кулинария",Мясная гастрономия,Колбаса,"ОАО ""ЧМПЗ""",116,412.0
"Мясо, рыба, кулинария",Мясо,Мясные полуфабрикаты,"ООО ""Брянская мясная компания""",169,360.0
Напитки,"Соки, нектары",Нектары и сокосодержащие напитки,"АО ""Мултон""",107,44.0
Бакалея,Консервы и мёд,Грибные консервы,"Xiamen Ovisen I/E Co., Ltd.",194,16.0
"Хлеб, кондитерские изделия","Печенье, пряники, вафли",Пряники,"Кондитерский Комбинат ""Сажинский""",204,410.0
Бакалея,Консервы и мёд,Овощные консервы,Consorzio Casalasco del Pomodoro S.A.C,144,26.0
Бакалея,Чипсы и снеки,Чипсы,"ООО ""Глобал Снек""",74,530.0
Товары для животных,Корма и лакомства,Корма и лакомства для собак,ВАФО ПРАГА с.р.о.,749,414.3
Напитки,"Лимонады, тоники, газированные напитки",None,Green Cola Hellas SA / Грин Кола Хеллас,69,9.0
Товары для животных,Корма и лакомства,Корма и лакомства для кошек,Сонгкла Каннинг Паблик Компани Лимитед,82,41.0
Бакалея,Мука и кулинарные ингредиенты,Кулинарные ингредиенты,"ООО ""Русквас""",429,280.0
Детские товары,Детское питание,Детское пюре,"АО ""ВБД""",38,60.0
"Мясо, рыба, кулинария",Мясная гастрономия,Колбаса,"ООО ""МПЗ ""Москворецкий""",1106,379.0
Напитки,"Соки, нектары",Нектары и сокосодержащие напитки,"АО ""Белгородский молочный комбинат""",104,46.0
Бакалея,Продукты быстрого приготовления,"Сухие завтраки, мюсли, гранола","ЗАО ""Науясис Невежис""",77,392.0
Бакалея,Крупы и макаронные изделия,Макароны и паста,"(R) Riese Pio X, (М) Muggia, (B) Rovato. Маркировку изготовителя смотри на упаковке.",94,350.0
"Молочные продукты, сыр, яйца","Молоко, сливки",Молоко,Молочный комбинат Воронежский ОАО,24,53.0
Напитки,"Лимонады, тоники, газированные напитки",None,"ООО ""ПепсиКо Холдингс""",54,49.0
Детские товары,Детское питание,Детские молочные продукты,"ОАО ""Вимм-Билль-Данн""",29,109.0
Бакалея,Мука и кулинарные ингредиенты,Мука,"ООО ""Образ жизни""",97,296.0
"Мясо, рыба, кулинария",Мясная гастрономия,"Деликатесы, паштеты, заливное","ООО ""Снежана+Д""",244,90.0
Бакалея,Диетические продукты,"Аптека, витамины, БАДы","ООО Научно-производственное объединение ""Компас Здоровья""",199,863.0
Бакалея,"Растительные масла, соусы","Горчица, хрен","ООО ""ПК ""Русские закуски""",67,85.0
Детские товары,Детское питание,Детское пюре,"АО ""Прогресс""",46,87.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка",Наборы конфет,"ЗАО ""Ферреро Руссия""",939,628.0
Собственное производство,"Шашлык, барбекю",None,"ООО ""Гиперглобус""",299,482.0
"Молочные продукты, сыр, яйца","Молоко, сливки",Сливки,"ОАО ""Милкавита""",76,120.0
Детские товары,Детское питание,"Соки, напитки","ООО ""Южная соковая компания""",26,50.0
Бакалея,Консервы и мёд,Мёд,ИП Монастырская К. Е.,349,296.0
Замороженные продукты,"Замороженные блинчики, тесто и выпечка",Замороженные блинчики и оладьи,"ООО ""Щелковский МПК""",266,250.0
"Молочные продукты, сыр, яйца",Кисломолочные продукты,"Ряженка, простокваша, мацони","ООО ""Кристалл""",44,20.2
"Молочные продукты, сыр, яйца",Сыры,Сыры твердые и полутвердые,"ООО ""ПиР-ПАК""",112,362.0
"Молочные продукты, сыр, яйца",Сыры,Сыры мягкие и творожные,"ООО ""Хохланд Руссланд""",88,292.0
Бакалея,Мука и кулинарные ингредиенты,Кулинарные ингредиенты,"ООО ""Топ Продукт""",61,272.0
Бакалея,Диетические продукты,Заменители сахара и диабетика,"Nutrisun GmbH &amp, Co.KG.",132,20.0
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты","ООО ""Русские продукты""",132,30.0
Напитки,"Соки, нектары",Нектары и сокосодержащие напитки,"ООО ""Силит""",86,48.0
"Мясо, рыба, кулинария",Мясная гастрономия,Колбаса,ООО Малаховский мясокомбинат,49,392.0
Напитки,"Соки, нектары",Нектары и сокосодержащие напитки,"ООО ""СМП ""Марк-IV""",37,35.0
Замороженные продукты,"Замороженные фрукты, овощи, смеси",Замороженные фрукты и ягоды,"ООО ""Торговый дом Вологодская ягода""",169,82.0
Бакалея,"Соль, сахар, специи",Специи и приправы,"ООО ""Нестле Россия""",19,298.0
"Молочные продукты, сыр, яйца",Кисломолочные продукты,"Ряженка, простокваша, мацони","ООО ""Фуд Милк""",104,59.0
Бакалея,"Растительные масла, соусы",Десертные соусы и сиропы,"ООО ""Спум Фудс""",339,260.0
"Молочные продукты, сыр, яйца","Коктейли, десерты, каши","Коктейли, напитки",Arla Foods amba,175,71.0
Напитки,"Соки, нектары",Соки,"АО ""Мултон""",124,40.0
"Молочные продукты, сыр, яйца",Йогурт,Йогурты питьевые,"ООО ""Данон Трейд""",66,99.0
Детские товары,Детское питание,"Соки, напитки","АО ""Прогресс""",35,40.0
"Молочные продукты, сыр, яйца",Кисломолочные продукты,Кефир,"ООО ""Виренея""",115,80.0
Бакалея,"Орехи, сухофрукты, семечки",Орехи,"ООО ""Комсервис""",269,689.0
"Мясо, рыба, кулинария",Мясная гастрономия,Сосиски,"ОАО ""ОМПК""",199,229.0
Бакалея,Мука и кулинарные ингредиенты,Мука,"ООО ""Фабрика Органик Продукт""",146,462.0
"Молочные продукты, сыр, яйца",Сыры,Сыры твердые и полутвердые,"ООО ""ПиР-ПАК""",169,362.0
"Мясо, рыба, кулинария",Мясная гастрономия,"Деликатесы, паштеты, заливное","ООО ""МДБ""",259,111.0
"Мясо, рыба, кулинария",Мясная гастрономия,Колбаса,"ООО ""Мясоперерабатывающий завод РЕМИТ""",1119,450.0
"Мясо, рыба, кулинария",Мясо,Мясные полуфабрикаты,"ООО ""Брянская мясная компания""",229,360.0
"Молочные продукты, сыр, яйца",Сыры,Сыры твердые и полутвердые,"ООО ""Валио""",154,354.0
"Мясо, рыба, кулинария",Мясная гастрономия,Колбаса,"ООО ""Мясоперерабатывающий завод РЕМИТ""",285,228.0
Бакалея,"Растительные масла, соусы",Растительные масла,GAEA PRODUCTS S.A.,1049,900.0
Бакалея,Мука и кулинарные ингредиенты,Кулинарные ингредиенты,"ООО ""Эверест""",89,560.0
"Хлеб, кондитерские изделия","Мармелад, зефир, пастила",Зефир и маршмеллоу,"ООО ""Кондитерская фабрика ""Нева""",99,320.0
Бакалея,Чипсы и снеки,Мясные и рыбные снеки,"АО ""Новая столица""",76,162.0
Бакалея,Диетические продукты,Заменители сахара и диабетика,"ЗАО ""Пищекомбинат Клинский""",116,430.0
"Мясо, рыба, кулинария",Кулинария,Салаты и закуски,"ООО ""ФэрЕльГам""",79,85.0
"Хлеб, кондитерские изделия","Мармелад, зефир, пастила",Мармелад,Haribo Produktion A/S,799,345.0
Собственное производство,Кондитерские изделия,Торты,"ООО ""Гиперглобус""",419,291.5
"Молочные продукты, сыр, яйца",Кисломолочные продукты,Сметана,"ООО ""Останкинский молочный комбинат""",33,116.0
"Молочные продукты, сыр, яйца",Майонез,None,"ОАО ""Эфко""",37,613.0
Напитки,"Лимонады, тоники, газированные напитки",None,"ООО ""Винтаж""",16,10.6
"Молочные продукты, сыр, яйца",Соевые продукты,None,"ООО ""СиЭко Фудс""",132,107.72
"Молочные продукты, сыр, яйца","Коктейли, десерты, каши","Коктейли, напитки","ОАО ""Савушкин продукт""",58,49.6
"Хлеб, кондитерские изделия","Печенье, пряники, вафли","Печенье, галеты, крекеры","ООО ""ПромКонд""",199,407.5
Бакалея,Чипсы и снеки,Чипсы,UMA Investments Sp. Z o.o.,71,505.0
Напитки,"Лимонады, тоники, газированные напитки",None,"ООО ""Кока-кола Эйчбиси Евразия""",52,41.0
Бакалея,Мука и кулинарные ингредиенты,Кулинарные ингредиенты,"ООО ""ПЕЦ-ХААС""",38,391.0
Бакалея,"Соль, сахар, специи",Специи и приправы,"ООО ""Новосибирский пищевой комбинат""",25,260.0
Детские товары,Детское питание,Детские смеси,FrieslandCampina,479,515.0
Бакалея,Консервы и мёд,"Варенье, джемы, пюре","ООО ""Южная соковая компания""",39,50.0
Товары для животных,Корма и лакомства,Корма и лакомства для собак,"ООО ""Рубис""",194,121.5
Бакалея,Консервы и мёд,Мясные консервы,"АО ""Орелпродукт""",194,203.0
"Хлеб, кондитерские изделия","Халва, лукум, восточные сладости","Халва, лукум, чак-чак","ООО ПК ""Сладости Востока""",56,442.2
"Молочные продукты, сыр, яйца",Кисломолочные продукты,Творог и творожные продукты,"ООО ""ВБД""",42,134.0
"Хлеб, кондитерские изделия","Хлеб, лаваш, лепешки",Хлебцы и тарталетки,Lantmannen Cerealia Oy,89,366.0
Собственное производство,Рыбный ряд,Копченая и жареная рыба,"ООО ""ГИПЕРГЛОБУС""",319,191.0
Бакалея,Консервы и мёд,Рыбные консервы,"ООО ""РК ""За родину""",79,182.0
Бакалея,"Растительные масла, соусы",Растительные масла,Salov S.p.A.,434,900.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка","Конфеты, марципан, драже","ООО ""КОНДИТЕРСКАЯ ФАБРИКА ""ВОЛШЕБНИЦА""",172,360.0
Бакалея,"Чай, кофе, какао",Кофе зерновой,Torrefazione Poli S.r.l.,899,241.0
Напитки,"Соки, нектары",Соки,"ООО ""Производственный холдинг ""Меркурий""",89,48.0
Бакалея,"Соль, сахар, специи",Специи и приправы,"ООО ""Проммикс""",37,232.0
Напитки,Энергетики и обогащенные напитки,None,"ООО ""Функциональные напитки""",62,49.0
Бакалея,Продукты быстрого приготовления,"Сухие завтраки, мюсли, гранола","ОАО ""Пищевой комбинат ""Вологодский""",48,398.0
Детские товары,Детское питание,Детские молочные продукты,"ОАО ""Вимм-Биль-Данн""",33,83.0
Детские товары,Детское питание,Детское пюре,"ООО ""ВБД""",68,110.0
Товары для животных,Корма и лакомства,Корма и лакомства для собак,"Monge &amp, C.S.p.A.",149,89.0
Бакалея,"Растительные масла, соусы",Азиатская кухня,"Heinz (China) Sauces &amp, Conoments Co. Ltd",315,51.0
Собственное производство,Мясной цех,"Колбаса, ветчина","ООО ""МК ""Богатырь""",849,398.0
"Молочные продукты, сыр, яйца",Сыры,Сыры плавленые,"ООО ""Хохланд Руссланд""",86,301.0
"Молочные продукты, сыр, яйца",Кисломолочные продукты,Сырки творожные,"ООО ""РостАгроКомплекс""",29,425.5
"Молочные продукты, сыр, яйца","Молоко, сливки",Молоко,"ООО ""ЭкоНива Молоко Воронеж""",69,65.0
"Хлеб, кондитерские изделия",Торты и пирожные,Свежие торты и пирожные,"ООО ""Фили-Бейкер""",455,311.0
Замороженные продукты,"Замороженные фрукты, овощи, смеси",Замороженные овощи и смеси,"ООО ""Альбатрос Си Фуд Продакшин""",112,30.0
Напитки,"Соки, нектары",Нектары и сокосодержащие напитки,"Rita Food and Drink Co., Ltd",99,36.0
"Мясо, рыба, кулинария",Мясная гастрономия,"Деликатесы, паштеты, заливное","ООО ""Мясокомбинат ""Павловская Слобода""",269,220.0
"Мясо, рыба, кулинария","Рыба, икра, морепродукты",Морепродукты и салаты,"ООО ""ТД ""Балтийский берег""",99,37.0
Бакалея,Чипсы и снеки,Кукурузные палочки,"ООО ""Русскарт""",16,510.0
"Молочные продукты, сыр, яйца",Сыры,Сыры мягкие и творожные,"АО ""Ефремовский маслосыродельный комбинат""",113,244.0
"Хлеб, кондитерские изделия",Булочки и сладкая выпечка,"Булочки, пончики, ватрушки","ООО ""Хлебопрод""",24,364.0
"Молочные продукты, сыр, яйца",Сыры,Сыры с плесенью,"ООО ""Алгой""",1599,337.0
Замороженные продукты,"Замороженные блинчики, тесто и выпечка",Замороженные блинчики и оладьи,"ООО ""МОРОЗКО""",115,186.0
Напитки,"Соки, нектары",Нектары и сокосодержащие напитки,"(L) - ООО ""Лебедянский"", (1) - АО ""ВБД""&lt,br/&gt,- код изготовителя и производства указан на упаковке",64,45.0
"Молочные продукты, сыр, яйца",Кисломолочные продукты,Сырки творожные,"ООО ""РостАгроКомплекс""",17,278.3
Бакалея,Мука и кулинарные ингредиенты,Кулинарные ингредиенты,"ООО ""Комсервис""",79,565.0
Бакалея,Консервы и мёд,Овощные консервы,"ООО ""Славянский консервный комбинат""",84,90.0
Бакалея,"Орехи, сухофрукты, семечки",Семечки,"ЗАО ""Орехпром""",69,550.0
"Мясо, рыба, кулинария",Мясная гастрономия,"Деликатесы, паштеты, заливное","ОАО ""ОМПК""",89,97.0
Детские товары,Детское питание,Детские каши,"ООО ""Хайнц-Георгиевск""",99,422.0
Детские товары,Детское питание,Детские молочные продукты,"(3) АО ""ВБД"", (4) ООО ""ВБД"". Смотрите цифру в маркировке на упаковке.",27,74.0
Напитки,"Соки, нектары",Нектары и сокосодержащие напитки,Sappe Public Company Limited,82,160.0
Бакалея,Диетические продукты,"Отруби, клетчатка, добавки","ООО ""Эверест""",34,270.0
Напитки,"Соки, нектары",Соки,"ООО ""Кока-Кола ЭйчБиСи Евразия""",64,42.0
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты","ООО ""Марс""",122,56.0
"Мясо, рыба, кулинария","Рыба, икра, морепродукты",Икра,"ООО СП ""Санта Бремор""",89,170.0
"Молочные продукты, сыр, яйца",Соевые продукты,None,"ООО ""Белок""",43,309.0
"Мясо, рыба, кулинария",Мясная гастрономия,"Деликатесы, паштеты, заливное","АО ""Мясокомбинат Клинский""",1669,180.0
Бакалея,Чипсы и снеки,Батончики,"ООО ""Открытие""",14,390.0
Детские товары,Детское питание,Детские молочные продукты,"цифровой код см. на упаковке сверху:&lt,br/&gt,(1) АО ""ДАНОН РОССИЯ""&lt,br/&gt,(11) ООО ""Данон Индустрия""",39,70.0
Бакалея,Диетические продукты,Заменители сахара и диабетика,"ООО ""Мистер Джемиус""",249,20.95
"Хлеб, кондитерские изделия","Баранки, сушки, сухари","Сушки, баранки","АО ""Фирма Невская сушка""",74,400.0
"Молочные продукты, сыр, яйца",Сыры,Сыры плавленые,"ООО ""Лакталис Истра""",224,283.0
Замороженные продукты,"Мороженое, десерты",None,"ООО ""Талосто-3000""",129,250.0
Детские товары,Детское питание,"Соки, напитки","АО ""ВБД""",28,45.0
"Молочные продукты, сыр, яйца",Кисломолочные продукты,Творог и творожные продукты,"АО ""Данон Россия""",47,105.0
"Мясо, рыба, кулинария","Рыба, икра, морепродукты",Рыбные закуски и пресервы,"ОАО ПКП ""Меридиан""",99,200.0
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты",SIA Kronis,161,150.0
Бакалея,Мука и кулинарные ингредиенты,Кулинарные ингредиенты,"ООО ""ХЛЕБЗЕРНОПРОДУКТ""",122,420.0
Бакалея,"Растительные масла, соусы",Азиатская кухня,"АО ""Виртекс""",86,200.0
Бакалея,Консервы и мёд,Рыбные консервы,"Golden Prize Canning Co., Ltd.",139,159.0
Замороженные продукты,"Замороженные блинчики, тесто и выпечка",Замороженные блинчики и оладьи,"ООО ""Снежана+Д""",194,160.0
"Мясо, рыба, кулинария",Мясная гастрономия,"Деликатесы, паштеты, заливное","ООО ""Мясокомбинат ""Павловская Слобода""",196,220.0
Бакалея,Диетические продукты,Безглютеновые и соевые продукты,Dr. Shar AG\SPA,207,407.0
"Хлеб, кондитерские изделия","Хлеб, лаваш, лепешки",Хлеб,"ООО ""Харрис СНГ""",66,264.0
Замороженные продукты,"Замороженные фрукты, овощи, смеси",Замороженные овощи и смеси,"ООО ""Вологодская ягода""",319,139.0
Детские товары,Детское питание,Детские смеси,Нестле Свисс С. А.,939,484.0
"Молочные продукты, сыр, яйца","Масло сливочное, маргарин",Маргарины и спреды,"АО ""Нижегородский масло-жировой комбинат"".",26,680.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка",Наборы конфет,AUGUST STORCK KG,149,516.0
Напитки,Ореховые и злаковые напитки,None,"ООО ""Объединение ""Союзпищепром""",65,40.0
Замороженные продукты,"Замороженные фрукты, овощи, смеси",Замороженные овощи и смеси,Bonduelle Europe Long Life SAS,214,41.0
"Мясо, рыба, кулинария","Рыба, икра, морепродукты",Соленая рыба,"ООО ""Акватория +""",62,209.0
"Мясо, рыба, кулинария",Мясная гастрономия,Сосиски,"ОАО ""ОМПК""",139,265.0
"Молочные продукты, сыр, яйца",Кисломолочные продукты,"Ряженка, простокваша, мацони","ООО ""Останкинский молочный комбинат""",45,51.0
"Молочные продукты, сыр, яйца","Масло сливочное, маргарин",Масло сливочное,"ООО ""ЭкоНива Молоко Воронеж""",229,662.0
"Молочные продукты, сыр, яйца",Кисломолочные продукты,Сырки творожные,"АО ""ВБД""",37,416.0
Собственное производство,Кулинария,Салаты и закуски,"ООО ""Гиперглобус""",439,200.0
Бакалея,Консервы и мёд,Овощные консервы,"ООД ""Олинеза Премиум""",172,131.0
Бакалея,Диетические продукты,Заменители сахара и диабетика,"ООО ""ВЕРЕСК""",26,570.0
Здоровый выбор,Без глютена,Хлеб и хлебцы,Фирма BEZGLUTEN Sp. z o.o,245,235.0
Напитки,Вода,"Вода питьевая, артезианская и родниковая","ООО ""Производственная компания ""Лидер""""",34,15.0
Бакалея,"Растительные масла, соусы",Десертные соусы и сиропы,"ООО ""Терра""",189,267.0
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты",ООО «Юнилевер Русь»,52,65.0
"Хлеб, кондитерские изделия",Торты и пирожные,Свежие торты и пирожные,"ООО ""Фили-Бейкер""",135,268.0
Детские товары,Детское питание,Детское пюре,"ОАО ""Сады Придонья""",35,28.0
"Молочные продукты, сыр, яйца",Сыры,Сыры рассольные,Kuc-Company d.o.o.,167,184.0
Напитки,"Соки, нектары",Нектары и сокосодержащие напитки,Nestle Waters Supply Sud,74,18.0
Напитки,"Лимонады, тоники, газированные напитки",None,Россия,49,37.0
Бакалея,"Растительные масла, соусы",Растительные масла,"ООО ""Бунге СНГ""",399,899.0
"Молочные продукты, сыр, яйца",Сыры,Сыры твердые и полутвердые,"ОАО Молочный комбинат ""Воронежский""",292,340.0
Бакалея,Консервы и мёд,Овощные консервы,"ООО ""Производственная компания ""Луч""",23,85.0
"Хлеб, кондитерские изделия","Хлеб, лаваш, лепешки",Хлебцы и тарталетки,"ООО ""ОрСнэк""",39,350.0
"Молочные продукты, сыр, яйца",Кисломолочные продукты,"Ряженка, простокваша, мацони","Сельскохозяйственный производственный Кооператив ""Сельскохозяйственная артель (колхоз) ""Первомайский""",66,58.0
"Молочные продукты, сыр, яйца","Коктейли, десерты, каши","Муссы, пудинги","ООО ""Эрманн""",38,130.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка","Конфеты, марципан, драже","ООО ""СОБРАНИЕ""",144,430.0
Бакалея,Мука и кулинарные ингредиенты,Смеси для выпечки,"ООО ""Эстеро-продукт""",146,366.0
"Мясо, рыба, кулинария","Рыба, икра, морепродукты",Соленая рыба,"ОАО ПКП ""Меридиан""",239,200.0
Товары для животных,Корма и лакомства,Корма и лакомства для кошек,"ООО ""Рубис""",87,97.0
"Мясо, рыба, кулинария",Мясная гастрономия,Колбаса,"ООО ""Пит-Продукт""",189,376.0
"Хлеб, кондитерские изделия",Торты и пирожные,Свежие торты и пирожные,"ООО ""0 калорий""",99,43.0
Напитки,Вода,"Вода питьевая, артезианская и родниковая","ООО ""Производственная компания ""Лидер""""",27,15.0
"Молочные продукты, сыр, яйца",Кисломолочные продукты,Творог и творожные продукты,Дмитровский молочный завод,225,348.0
"Молочные продукты, сыр, яйца",Сыры,Сыры рассольные,"ОАО ""Северное Молоко""",92,194.0
"Молочные продукты, сыр, яйца",Сыры,Сыры копченые,"ООО ""Мега-Мастер""",106,276.0
Напитки,"Соки, нектары",Соки,"ООО ""Аквариус""",96,45.0
Напитки,Ореховые и злаковые напитки,None,Alpro C.V.A.,274,60.0
"Молочные продукты, сыр, яйца","Масло сливочное, маргарин",Масло сливочное,"ЗАО ""Умалат"".",589,662.0
"Мясо, рыба, кулинария",Птица,Охлажденная птица,"ООО ""Дантон-Птицепром""",169,220.0
Бакалея,Консервы и мёд,Рыбные консервы,Thai union Frozen products Public Company Limited,104,100.0
"Мясо, рыба, кулинария","Рыба, икра, морепродукты",Икра,"ОАО ПКП ""Меридиан""",1499,260.0
Бакалея,Продукты быстрого приготовления,"Кисели, желе, десерты","Публичное акционерное общество ""РУССКИЙ ПРОДУКТ""",44,360.0
Собственное производство,Мясной цех,"Охлажденное мясо, фарш","ООО ""Гиперглобус""",419,226.0
"Мясо, рыба, кулинария","Рыба, икра, морепродукты",Сушеная и вяленая рыба,"ООО ""СнэкМастер""",939,320.0
Собственное производство,Рыбный ряд,Копченая и жареная рыба,"ООО ""Гиперглобус""",749,126.0
"Мясо, рыба, кулинария",Мясная гастрономия,Колбаса,"ООО ""Мясокомбинат ЭКО""",215,350.0
Бакалея,Диетические продукты,Спортивное питание,"ООО ""Генетиклаб""",1399,398.0
"Молочные продукты, сыр, яйца","Молоко, сливки",Молоко,"ОАО ""Белгородский молочный комбинат""",26,46.0
"Мясо, рыба, кулинария",Мясная гастрономия,Сосиски,"ООО ""Дымовское колбасное производство""",215,296.0
"Молочные продукты, сыр, яйца",Кисломолочные продукты,Творог и творожные продукты,Дмитровский молочный завод,225,334.0
Бакалея,Диетические продукты,Продукты для похудения,"ООО ""Вастэко Партнерс""",129,375.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка",Шоколад и шоколадные изделия,"ООО ""Марс""",116,495.0
"Хлеб, кондитерские изделия",Торты и пирожные,Свежие торты и пирожные,"ООО ""Кондитерская ""Крем Роял""",156,380.4
Бакалея,"Чай, кофе, какао",Кофейные напитки,"Mondelez Deutschland Production GmbH &amp, Coю KG",499,236.0
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты",Пента Импекс Кампани Лимитед,249,584.0
Бакалея,"Соль, сахар, специи",Специи и приправы,Santa Maria AB,71,271.0
Бакалея,Крупы и макаронные изделия,Макароны и паста,Andriani SpA,199,359.0
"Мясо, рыба, кулинария",Птица,Субпродукты,"АО ""ПРОДО Птицефабрика Калужская""",54,170.0
"Хлеб, кондитерские изделия","Хлеб, лаваш, лепешки",Хлебцы и тарталетки,"ООО ""Русский продукт""",21,490.0
Бакалея,"Растительные масла, соусы","Соусы, кетчупы, томатные пасты",F.IIi De Cecco di Filippo Fara San Martino S.p.A.,267,470.0
Бакалея,Консервы и мёд,Овощные консервы,"ООО ""ТЕХАДА""",61,95.0
Напитки,Ореховые и злаковые напитки,None,Sojinal S.A.A.,289,24.0
"Мясо, рыба, кулинария",Мясная гастрономия,Колбаса,"ООО ""Дымовское колбасное производство""",199,210.0
Детские товары,Детское питание,Детское пюре,"ООО ""Завод детского питания ""Фаустово""",42,65.0
"Мясо, рыба, кулинария",Птица,Полуфабрикаты из птицы,"АО ""Моссельпром""",139,160.0
Замороженные продукты,"Замороженные фрукты, овощи, смеси",Замороженные овощи и смеси,"ООО ""Вологодская ягода""",99,23.0
Детские товары,Детское питание,Детское пюре,"""HiPP Production Gmunden GmbH&amp,Co.Kg""",62,49.0
Бакалея,"Растительные масла, соусы",Растительные масла,"ООО ""Каргилл""",399,899.0
Бакалея,Консервы и мёд,Мясные консервы,"ООО ""БАЛТКОМ""",312,213.0
"Хлеб, кондитерские изделия","Шоколад, конфеты, жевательная резинка",Шоколад и шоколадные изделия,"ООО ""Мон’дэлис Русь""",119,495.0
Детские товары,Детское питание,Детские молочные продукты,"ОАО ""Вимм-Билль-Данн""",59,60.0
"Хлеб, кондитерские изделия","Баранки, сушки, сухари","Сухари, хлебные палочки","ООО ""ВАСТЭКО Партнерс""",149,443.0
"Молочные продукты, сыр, яйца",Майонез,None,"ООО ""Юнилевер Русь""",67,220.0
"Мясо, рыба, кулинария",Птица,Охлажденная птица,"ЗАО ""Краснобор""",319,195.0
Напитки,"Соки, нектары",Нектары и сокосодержащие напитки,Viet World Company Limited,199,48.0
Бакалея,Консервы и мёд,Овощные консервы,"ООО ""Триумф Груп"" Филиал Армении.",254,68.8
Бакалея,Чипсы и снеки,Мясные и рыбные снеки,"ООО ""СВКА Маркет""",129,316.0
Товары для животных,Корма и лакомства,Корма и лакомства для собак,"Qingdao Kangda Foodstuffs Co., Ltd.",62,306.0
